"First Name","Last Name","Nickname","Record","Wins","Losses","Draws","Height","Weight","Reach","Stance","SLpM","Str. Acc","SApM","Str. Def","TD Avg","TD Acc","TD Def","Sub. Avg","URL"
"Izabela","Badurek",NA,"5-3-0",5,3,0,65,115,NA,"Orthodox",3.74,0.71,4.9,0.32,1.75,0.12,1,0,"http://fightmetric.com/fighter-details/4fcf6e0c4e0e6664"
"Ryan","Bader","Darth","23-5-0",23,5,0,74,205,74,"Orthodox",2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,"http://fightmetric.com/fighter-details/c0ab242c40decc55"
"Seth","Baczynski","The Polish Pistola","18-11-0",18,11,0,75,170,74,"Orthodox",3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,"http://fightmetric.com/fighter-details/fd5b6598a3b70c0a"
"Niklas","Backstrom",NA,"8-2-0",8,2,0,73,145,74,"Orthodox",1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2,"http://fightmetric.com/fighter-details/39cc64bf0a269db9"
"Ion","Cutelaba","The Hulk","12-3-0",12,3,0,73,205,75,"Southpaw",3.82,0.29,3.22,0.5,2.18,0.66,0.8,0,"http://fightmetric.com/fighter-details/cd13728ae1151f46"
"Pat","Curran","Paddy Mike","21-7-0",21,7,0,69,145,NA,NA,4.7,0.58,4.4,0.63,2.5,0.62,0.66,0,"http://fightmetric.com/fighter-details/d8291d0dd63da29c"
"Kailin","Curran",NA,"4-4-0",4,4,0,64,115,65,"Orthodox",3.48,0.41,4.07,0.52,2.29,0.8,0.67,0.9,"http://fightmetric.com/fighter-details/05b43e0ead3df345"
"Jeff","Curran","Big Frog","35-15-1",35,15,1,66,135,69,"Orthodox",1.54,0.31,2.48,0.6,0.35,0.12,0.35,1.2,"http://fightmetric.com/fighter-details/a8ea84cbe1655f0a"
"Larry","Cureton",NA,"0-2-0",0,2,0,74,240,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/46f11d15c0134fe3"
"Luke","Cummo",NA,"6-6-0",6,6,0,72,170,74,"Orthodox",1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4,"http://fightmetric.com/fighter-details/93ce4ac89e3d7652"
"Patrick","Cummins","Durkin","8-4-0",8,4,0,74,205,76,"Orthodox",4.32,0.52,2.75,0.57,6.87,0.51,0.8,0.2,"http://fightmetric.com/fighter-details/e51e5cb722bd47a8"
"Everett","Cummings",NA,"9-0-0",9,0,0,NA,205,NA,NA,0.43,0.6,4.34,0.45,0,0,0,2.2,"http://fightmetric.com/fighter-details/05e4be525cb3578c"
"Zak","Cummings",NA,"20-5-0",20,5,0,72,170,75,"Southpaw",2.43,0.3,2.89,0.52,1.37,0.38,0.71,0.8,"http://fightmetric.com/fighter-details/4ba8d454f762005d"
"Abel","Cullum","The Silent Assassin","18-6-0",18,6,0,67,139,NA,"Orthodox",1.82,0.4,1.23,0.46,4.01,0.52,0,2.8,"http://fightmetric.com/fighter-details/2f8f3c69522db931"
"Chris","Culley",NA,"11-8-0",11,8,0,NA,145,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/e59b13321562eed3"
"Dominick","Cruz","The Dominator","22-2-0",22,2,0,68,135,68,"Orthodox",3.53,0.31,2.15,0.74,3.17,0.5,0.83,0.1,"http://fightmetric.com/fighter-details/10f3ba6cd2f44a97"
"Marcio","Cruz","Pe de Pano","7-3-0",7,3,0,76,232,NA,"Orthodox",2.92,0.46,1.51,0.68,0.53,0.07,0.37,1.6,"http://fightmetric.com/fighter-details/6aa1cbc1466e9a0b"
"Richard","Crunkilton","Cleat","19-3-0",19,3,0,67,155,NA,"Orthodox",1.97,0.41,1.66,0.58,4.68,0.61,0.65,1.5,"http://fightmetric.com/fighter-details/22ee260735da0d58"
"Daron","Cruickshank","Detroit Superstar","16-8-0",16,8,0,68,155,72,"Switch",2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,"http://fightmetric.com/fighter-details/5f99b2bafb10305f"
"Jeff","Crotty",NA,"0-1-0",0,1,0,NA,155,NA,NA,0.93,0.35,3.33,0.54,5,0.38,0,1,"http://fightmetric.com/fighter-details/98601a40e9d96047"
"Alex","Crispin",NA,"0-1-0",0,1,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/8944a0f9b2f0ce6d"
"Alexander","Crispim",NA,"7-2-0",7,2,0,NA,145,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/15dedd05f8bcb475"
"Paul","Creighton",NA,"3-1-0",3,1,0,66,155,NA,"Southpaw",0.72,0.75,4.65,0.3,5.37,0.37,0,0,"http://fightmetric.com/fighter-details/ed73c85164a5f5a4"
"Tim","Credeur",NA,"12-4-0",12,4,0,75,185,75,"Orthodox",3.59,0.3,3.13,0.57,0.41,1,0.5,3.3,"http://fightmetric.com/fighter-details/89b8d1bf1ff09d1d"
"Alberto","Crane",NA,"15-5-0",15,5,0,65,155,NA,"Orthodox",0.43,0.25,2.61,0.57,0,0,0.5,4,"http://fightmetric.com/fighter-details/25433871e4eee0f4"
"Dan","Cramer",NA,"7-3-0",7,3,0,74,170,NA,"Orthodox",0.97,0.3,2.1,0.31,0,0,0.66,0.5,"http://fightmetric.com/fighter-details/480b702debcb5433"
"Paul","Craig","Bearjew","9-1-0",9,1,0,75,205,76,"Orthodox",3.86,0.58,3.5,0.33,1.35,0.2,0.66,4,"http://fightmetric.com/fighter-details/eabf206b162b3b83"
"Andrew","Craig","Highlight","9-4-0",9,4,0,73,170,76,"Orthodox",2.39,0.4,3.01,0.5,0.53,0.37,0.72,0,"http://fightmetric.com/fighter-details/8a70ceb3edbe757b"
"Nathan","Coy","Soulforce","15-6-0",15,6,0,70,170,69,"Southpaw",3.72,0.51,2.02,0.6,3.14,0.44,0.5,0,"http://fightmetric.com/fighter-details/15ec018d144710db"
"Jeff","Cox","The Grinder","10-7-0",10,7,0,70,155,NA,"Orthodox",0.56,0.25,1.69,0.33,4.23,0.5,0.8,0,"http://fightmetric.com/fighter-details/c9bbf1a0285a8076"
"Colby","Covington","Chaos","11-1-0",11,1,0,71,170,72,"Orthodox",2.51,0.51,1.43,0.6,6.79,0.54,0,0.4,"http://fightmetric.com/fighter-details/dc9572dd6ec74859"
"Nikk","Covert","The Brick","3-4-0",3,4,0,68,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/400c7b43c86d27d3"
"Ryan","Couture",NA,"7-3-0",7,3,0,70,155,75,"Orthodox",3.54,0.45,2.87,0.54,1.55,0.29,0.46,1.3,"http://fightmetric.com/fighter-details/46fd223e3ced39b3"
"Kim","Couture","Sugar Free","3-6-0",3,6,0,68,135,NA,"Orthodox",12.12,0.8,2.31,0.69,0,0,0,0,"http://fightmetric.com/fighter-details/84c43f0d25f15b0b"
"Randy","Couture","The Natural","19-11-0",19,11,0,73,205,75,"Orthodox",2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5,"http://fightmetric.com/fighter-details/0aa92558424ced9e"
"Dave","Courchaine",NA,"5-5-0",5,5,0,68,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/79ab17db3b40831a"
"Rashad","Coulter",NA,"5-1-0",5,1,0,72,225,NA,NA,7.5,0.76,1.15,0.6,0,0,1,0,"http://fightmetric.com/fighter-details/d1528ac5675558b1"
"JC","Cottrell","Superstar","17-5-0",17,5,0,69,155,71,"Orthodox",0.79,0.25,2.75,0.45,0.79,1,0.5,0,"http://fightmetric.com/fighter-details/3ec1e4ba98c9c85a"
"Patrick","Cote","The Predator","24-10-0",24,10,0,71,170,71,"Orthodox",2.8,0.49,3.07,0.48,0.72,0.21,0.44,0.3,"http://fightmetric.com/fighter-details/9fa3bd637edd9aa2"
"Guilherme","Costa","The Prodigy","5-1-0",5,1,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/28877eddb1c0b967"
"Jadson","Costa",NA,"10-2-0",10,2,0,67,155,NA,"Orthodox",0.2,0.5,3.05,0.5,0,0,0,0,"http://fightmetric.com/fighter-details/222d6b547de2e035"
"Miguel","Cosio",NA,"1-12-0",1,12,0,76,205,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/d150c6fbdb7687f4"
"Chad","Corvin","The Brave Warrior","6-0-0",6,0,0,77,255,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/1267b631db78665a"
"Wesley","Correira","Cabbage","19-14-0",19,14,0,75,260,NA,"Orthodox",2.6,0.36,8.8,0.4,0,0,0.9,0,"http://fightmetric.com/fighter-details/4e9fb05d7e5e61b8"
"Bethe","Correia","Pitbull","10-2-1",10,2,1,65,135,64,"Orthodox",4.74,0.46,4.08,0.59,0.55,0.25,0.85,0,"http://fightmetric.com/fighter-details/673ea7dcc786b1b3"
"Henry","Corrales",NA,"12-2-0",12,2,0,69,145,NA,NA,4.12,0.41,5.84,0.55,0,0,0.69,0,"http://fightmetric.com/fighter-details/7cb0946d51b8cde7"
"Clint","Coronel",NA,"2-5-0",2,5,0,NA,155,NA,NA,4.93,0.32,5.6,0.66,0,0,0.66,0,"http://fightmetric.com/fighter-details/fe67cd6423f7a8ad"
"Daniel","Cormier","DC","18-1-0",18,1,0,71,205,72,"Orthodox",3.77,0.48,2.05,0.61,1.93,0.42,0.8,0.4,"http://fightmetric.com/fighter-details/d967f0128c323de6"
"Muhsin","Corbbrey",NA,"9-7-0",9,7,0,70,155,NA,"Orthodox",2.02,0.34,5.41,0.53,0,0,0.8,0.4,"http://fightmetric.com/fighter-details/1f9344211ca7fd60"
"Akira","Corassani",NA,"14-7-0",14,7,0,68,145,68,"Orthodox",3.25,0.45,4.91,0.5,0.7,0.28,0.86,0,"http://fightmetric.com/fighter-details/3f52ce18fb98008f"
"Josh","Copeland","Cuddly Bear","9-2-0",9,2,0,73,265,75,"Orthodox",1.03,0.31,3.01,0.55,0,0,0.57,0,"http://fightmetric.com/fighter-details/3aa794cbe1e3484b"
"Chris","Cope","C-Murder","5-4-0",5,4,0,72,170,72,"Orthodox",3.96,0.26,4.82,0.5,0,0,0.8,0,"http://fightmetric.com/fighter-details/8c8c92a12621d7e0"
"Kit","Cope","Havoc","4-7-0",4,7,0,72,170,NA,"Orthodox",1.18,0.52,2.12,0.35,0,0,0.5,3.5,"http://fightmetric.com/fighter-details/ce47f49e5c386a9c"
"Amanda","Cooper","ABC","3-3-0",3,3,0,63,115,64,"Switch",3.49,0.37,4.18,0.47,1.36,0.5,0,2,"http://fightmetric.com/fighter-details/d4a31850a7457f1b"
"Bobby","Cooper","Super Duper","12-5-0",12,5,0,73,155,NA,NA,2.87,0.25,3.4,0.59,0,0,0.4,1,"http://fightmetric.com/fighter-details/1b51895e5572cfda"
"Bill","Cooper",NA,"2-1-0",2,1,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/78bd6940d093fd33"
"Brett","Cooper",NA,"15-7-0",15,7,0,72,170,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/88ffe9745e218dd8"
"Dewey","Cooper","The Black Cobra","2-1-0",2,1,0,NA,205,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/5efaaf313b652dd7"
"TJ","Cook",NA,"12-4-0",12,4,0,NA,205,NA,NA,2.3,0.47,3.18,0.54,1.01,0.5,0,0,"http://fightmetric.com/fighter-details/fa238ecfd048f7d8"
"Chad","Cook",NA,"9-9-0",9,9,0,74,205,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/e6daf9cdbf0da889"
"Mike","Cook",NA,"11-9-0",11,9,0,73,205,NA,"Orthodox",1.72,0.49,2.4,0.46,1.03,0.33,0.55,2.1,"http://fightmetric.com/fighter-details/3ab0df1ddd5f1dc2"
"Bob","Cook","Crazy","5-0-0",5,0,0,69,170,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/1c061eb6e29eaa0a"
"Jonathan","Contrestano","JT","5-0-0",5,0,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/06d4eb8123087123"
"Jeremiah","Constant",NA,"10-7-0",10,7,0,73,240,NA,"Orthodox",1.5,0.75,3.25,0.43,0,0,0,7.5,"http://fightmetric.com/fighter-details/18f5669a92e99d92"
"Chris","Condo",NA,"0-1-0",0,1,0,72,335,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/41e77dc504a192c6"
"Carlos","Condit","The Natural Born Killer","30-10-0",30,10,0,74,170,75,"Orthodox",3.78,0.39,2.42,0.56,0.59,0.52,0.39,1.2,"http://fightmetric.com/fighter-details/f9f07bb5a43535ed"
"Wes","Combs","The Soldier","19-5-0",19,5,0,74,205,NA,"Orthodox",2.14,0.48,4.73,0.45,0,0,0,0,"http://fightmetric.com/fighter-details/a85998eb79650b2c"
"Christian","Colombo","Godzilla","8-2-1",8,2,1,77,265,80,"Orthodox",2.9,0.45,3.05,0.44,0,0,0.36,0,"http://fightmetric.com/fighter-details/9123c54d0a2b72dd"
"Jake","Collier","The Prototype","10-3-0",10,3,0,75,205,78,"Orthodox",3.98,0.38,3.19,0.56,1.37,0.33,0.66,0.5,"http://fightmetric.com/fighter-details/92fa1401b7927da3"
"Clay","Collard","Cassius","14-7-0",14,7,0,71,145,73,"Orthodox",4.22,0.32,5,0.5,2.81,0.39,0.71,0.5,"http://fightmetric.com/fighter-details/cc900c6a71ed23f3"
"Cortez","Coleman","Hollywood","7-2-0",7,2,0,73,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/ffb20ae0db47ebe6"
"Mark","Coleman","The Hammer","16-10-0",16,10,0,73,205,75,"Orthodox",1.88,0.52,2.62,0.4,3.89,0.4,0.5,0.8,"http://fightmetric.com/fighter-details/21b8a0f5c231096f"
"Ivan","Cole","JP","2-3-0",2,3,0,69,135,NA,NA,2.68,0.36,4.69,0.46,0,0,0,0,"http://fightmetric.com/fighter-details/987b80f57190d6d0"
"Coltin","Cole",NA,"2-3-0",2,3,0,NA,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/cecd72feb0d640e3"
"Devin","Cole",NA,"21-9-1",21,9,1,76,240,NA,"Orthodox",2.68,0.5,2.53,0.47,0.9,0.33,0.66,0,"http://fightmetric.com/fighter-details/1174782eacde9b0c"
"Wayne","Cole",NA,"16-18-0",16,18,0,73,205,NA,"Orthodox",0.57,0.2,8.33,0.27,4.31,0.25,0,4.3,"http://fightmetric.com/fighter-details/2eab7a6c8b0ed8cc"
"Chris","Coggins",NA,"4-1-0",4,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/a0c29b13f7a5df32"
"John","Cofer","The Potter","7-4-0",7,4,0,69,155,73,"Southpaw",2.73,0.41,3.43,0.62,1.22,0.5,0.64,0,"http://fightmetric.com/fighter-details/8b260672a21d1fd6"
"Marc","Cofer",NA,"4-4-0",4,4,0,NA,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/e90d9d0681270953"
"Marloes","Coenen",NA,"21-5-0",21,5,0,69,145,67,NA,2.15,0.51,1.9,0.67,0.82,0.3,0.41,2.5,"http://fightmetric.com/fighter-details/0b77a05bcbd2de74"
"Dakota","Cochrane",NA,"18-8-0",18,8,0,68,155,NA,NA,2.66,0.75,2.66,0.3,4.43,0.33,0,0,"http://fightmetric.com/fighter-details/8fa7e0bc052185ce"
"Dave","Cochran",NA,"25-28-1",25,28,1,66,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/6dbb1107de9a4a08"
"Darryl","Cobb",NA,"5-4-0",5,4,0,69,185,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/dc6d8256ee3dfba5"
"Brian","Cobb",NA,"19-6-0",19,6,0,71,155,NA,"Orthodox",0,0,3.68,0.55,5.81,0.5,0,0,"http://fightmetric.com/fighter-details/3138fab619faf4d1"
"Josh","Clopton","The Gentleman","6-2-1",6,2,1,66,145,68,"Orthodox",1.6,0.64,2.87,0.5,2,0.66,0.75,0,"http://fightmetric.com/fighter-details/48e96d9cea6d4ab0"
"RJ","Clifford",NA,"3-2-0",3,2,0,NA,160,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/8e32bfcff3ec1717"
"Chris","Clements","The Menace","12-6-0",12,6,0,70,170,70,"Orthodox",3.2,0.49,2.37,0.44,0,0,0.32,0.3,"http://fightmetric.com/fighter-details/e5ecaf884b6da2bc"
"Rich","Clementi","No Love","40-20-1",40,20,1,69,155,72,"Southpaw",1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1,"http://fightmetric.com/fighter-details/7d21de9c6d7c98b2"
"Mitch","Clarke","Danger Zone","11-4-0",11,4,0,70,155,73,"Orthodox",2.26,0.34,2.85,0.46,0.74,0.18,0.5,0.5,"http://fightmetric.com/fighter-details/c76ec2bc3a57666a"
"John","Clarke",NA,"1-1-0",1,1,0,NA,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/a77c71a574132188"
"Devin","Clark","Brown Bear","7-1-0",7,1,0,72,205,75,"Orthodox",3.06,0.49,2.71,0.44,1.5,0.28,1,0.8,"http://fightmetric.com/fighter-details/cc7040fe76f0ef91"
"Heather Jo","Clark","Hurricane","7-6-0",7,6,0,66,115,64,NA,3.69,0.49,5.62,0.5,0.33,0.04,0.8,0.3,"http://fightmetric.com/fighter-details/dd4c16777fb2ccf9"
"Dominic","Clark",NA,"3-1-0",3,1,0,70,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/8a64b3f87ad29d1e"
"Mychal","Clark",NA,"7-12-0",7,12,0,75,224,NA,"Orthodox",5.8,0.56,2.9,0.59,0,0,0,0,"http://fightmetric.com/fighter-details/69108cb8b32efe04"
"Logan","Clark",NA,"15-5-0",15,5,0,74,185,NA,"Orthodox",2.2,0.54,1.49,0.53,0.31,1,0.3,2.1,"http://fightmetric.com/fighter-details/6776260cb0aef647"
"Laverne","Clark",NA,"27-19-1",27,19,1,71,170,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/1c2f2571b18791b6"
"Johnny","Cisneros","The Tattooed Terror","9-4-0",9,4,0,71,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/42611508ba8c3298"
"Misha","Cirkunov",NA,"13-2-0",13,2,0,75,205,77,"Orthodox",3.97,0.52,2.28,0.7,4.96,0.56,0.66,1.6,"http://fightmetric.com/fighter-details/67f272324a030d00"
"Nikolajus","Cilkinas",NA,"1-6-0",1,6,0,NA,NA,NA,"Orthodox",0,0,5.88,0.16,0,0,0,0,"http://fightmetric.com/fighter-details/3f3550bf126a5721"
"Branko","Cikatic",NA,"0-2-0",0,2,0,73,215,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/4e5bbc4566049cbf"
"Mike","Ciesnolevicz",NA,"19-4-0",19,4,0,72,235,NA,"Orthodox",0.51,0.5,4.62,0.57,0,0,0.2,5.1,"http://fightmetric.com/fighter-details/51b0bb73a1da34bc"
"Steven","Ciaccio","Stryker","4-4-0",4,4,0,72,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/eaebaa6801338ea1"
"Murad","Chunkaiev",NA,"8-3-0",8,3,0,71,185,NA,"Orthodox",0.85,0.16,3.41,0.66,8.53,1,0,0,"http://fightmetric.com/fighter-details/d4a12dfa4067742f"
"Anthony","Christodoulou",NA,"12-6-0",12,6,0,69,155,72,"Orthodox",2.19,0.26,5.9,0.45,0,0,0.4,0,"http://fightmetric.com/fighter-details/4f11e9ce318ffbcb"
"Dan","Christison","The Sandman","20-7-0",20,7,0,80,265,NA,"Orthodox",4.23,0.51,3.88,0.54,0,0,0.37,1.1,"http://fightmetric.com/fighter-details/b369533a577fa97c"
"Joachim","Christensen",NA,"14-4-0",14,4,0,75,205,76,"Orthodox",4.17,0.41,3.03,0.49,0,0,0,0,"http://fightmetric.com/fighter-details/2d447cc91bdaa545"
"Will","Chope","The Kill","19-6-0",19,6,0,76,145,76,"Switch",4.43,0.27,9.93,0.46,0,0,0,0,"http://fightmetric.com/fighter-details/db5dc7cb80d7d418"
"Katlyn","Chookagian","Blonde Fighter","8-1-0",8,1,0,69,135,68,"Orthodox",2.23,0.26,2.17,0.68,0,0,0.54,0,"http://fightmetric.com/fighter-details/e872e9a9a902c045"
"Ryo","Chonan","Piranah","20-12-0",20,12,0,69,170,70,"Orthodox",2.57,0.43,2.25,0.6,0.61,0.41,0.39,0.3,"http://fightmetric.com/fighter-details/55a7b2d4e54ffac9"
"John","Cholish",NA,"8-3-0",8,3,0,71,155,72,"Orthodox",2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4,"http://fightmetric.com/fighter-details/03c9994c5b8958ec"
"Dooho","Choi","The Korean Superboy","14-2-0",14,2,0,70,145,70,"Orthodox",5.58,0.52,6.19,0.49,0.77,0.2,0.5,0,"http://fightmetric.com/fighter-details/e93b04e308913c2e"
"Hong Man","Choi","Techno Goliath","2-3-0",2,3,0,86,330,NA,"Orthodox",1.32,0.26,1.46,0.36,0.71,1,0.84,0,"http://fightmetric.com/fighter-details/2c104b7e59a72629"
"Mu Bae","Choi",NA,"9-4-0",9,4,0,74,230,NA,"Orthodox",1.55,0.49,3.65,0.44,3.12,0.75,0.6,1,"http://fightmetric.com/fighter-details/371a1c91b24dec2b"
"Sako","Chivitchian",NA,"5-1-0",5,1,0,71,155,NA,NA,2.4,0.27,4.8,0.46,0,0,1,0,"http://fightmetric.com/fighter-details/9f7787e56a6bc0f4"
"Michael","Chiesa","Maverick","14-2-0",14,2,0,73,155,75,"Southpaw",2.26,0.37,2.38,0.52,2.87,0.4,0.72,1.5,"http://fightmetric.com/fighter-details/c58f51dedb310998"
"Ion","Cherdivara",NA,"1-1-0",1,1,0,NA,205,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/c713a845360d604b"
"Albert","Cheng",NA,"2-4-0",2,4,0,71,170,NA,"Orthodox",1,0.41,2.6,0.71,0,0,0,0,"http://fightmetric.com/fighter-details/d8d7b24d276c8cb0"
"Emilio","Chavez",NA,"8-5-0",8,5,0,69,145,NA,NA,2.73,0.48,1.53,0.54,3,0.5,0,0,"http://fightmetric.com/fighter-details/84e8920e59ff14a7"
"Ernest","Chavez","The Mad Titan","8-2-0",8,2,0,68,145,70,"Orthodox",2.79,0.4,3.89,0.59,0.89,0.33,0.5,0,"http://fightmetric.com/fighter-details/b406da701c479076"
"Dan","Charles","The Man","10-3-0",10,3,0,74,228,NA,NA,2.82,0.45,3.51,0.44,0,0,0.31,0,"http://fightmetric.com/fighter-details/32a4f1235f0dad73"
"Joe","Charles","The Ghetto Man","6-13-0",6,13,0,73,260,NA,"Southpaw",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/19ffeb5e3fffd6d5"
"Donnie","Chappell",NA,"0-1-0",0,1,0,71,178,NA,"Southpaw",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/8788beb528894f33"
"Mike","Chandler",NA,"9-3-0",9,3,0,68,155,NA,NA,4.08,0.47,3.81,0.52,2.57,0.41,0.8,1.5,"http://fightmetric.com/fighter-details/4b93a88f3b1de35b"
"Alex","Chambers","Astro Girl","5-3-0",5,3,0,63,115,63,NA,2.95,0.5,5.83,0.5,1.54,0.3,0.53,1.5,"http://fightmetric.com/fighter-details/26b63bc5c0c1f65d"
"Ansar","Chalangov",NA,"14-4-0",14,4,0,69,170,NA,"Orthodox",0.68,0.66,1.69,0.54,0,0,0,7.6,"http://fightmetric.com/fighter-details/7342fcc41a4817fa"
"Luan","Chagas","Tarzan","14-2-1",14,2,1,72,170,75,"Orthodox",3.01,0.4,2.87,0.51,0.52,0.2,1,0,"http://fightmetric.com/fighter-details/9ccf8371fd80d45d"
"Jared","Chaffee",NA,"5-1-0",5,1,0,70,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/fdf59144e535bc38"
"Donald","Cerrone","Cowboy","32-8-0",32,8,0,73,170,73,"Orthodox",4.18,0.47,4.01,0.54,1.36,0.42,0.7,1.6,"http://fightmetric.com/fighter-details/1d00756835ca67c9"
"Adam","Cella","El Naturel","4-2-0",4,2,0,74,170,78,NA,1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3,"http://fightmetric.com/fighter-details/b27b8881d7444114"
"Henry","Cejudo","The Messenger","10-1-0",10,1,0,64,125,64,"Orthodox",3.87,0.42,2.7,0.71,2.12,0.31,1,0.2,"http://fightmetric.com/fighter-details/056c493bbd76a918"
"Yosdenis","Cedeno","Pink Panther","10-5-0",10,5,0,68,155,69,"Orthodox",1.64,0.29,1.6,0.67,0,0,0.31,0.3,"http://fightmetric.com/fighter-details/3e61082025db8137"
"Magnus","Cedenblad","Jycken","14-5-0",14,5,0,77,185,79,"Orthodox",2.38,0.51,3.02,0.4,2.87,0.64,0.66,1,"http://fightmetric.com/fighter-details/0e21976afc92e4d1"
"Rafael","Feijao","Feijao","12-7-0",12,7,0,73,205,73,"Orthodox",2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1,"http://fightmetric.com/fighter-details/5c1ca0c72b599a3c"
"Gesias","Cavalcante","JZ","16-5-1",16,5,1,68,155,71,"Orthodox",1.98,0.35,3.11,0.51,1.25,0.36,0.66,1.1,"http://fightmetric.com/fighter-details/2a74bbba57058f12"
"Luke","Caudillo","Lil' Hulk","17-16-0",17,16,0,67,155,NA,"Orthodox",1.97,0.28,5.07,0.55,0.44,0.2,0.85,0,"http://fightmetric.com/fighter-details/68d76fd9ecf7431d"
"Nick","Catone","The Jersey Devil","10-4-0",10,4,0,72,185,72,"Southpaw",2.11,0.44,2.32,0.63,3.71,0.44,0.83,0.5,"http://fightmetric.com/fighter-details/f8fe2053d73d7bcf"
"Tim","Catalfo","Obake","4-2-0",4,2,0,71,235,NA,"Orthodox",0.39,1,0.77,0.33,0,0,0,0,"http://fightmetric.com/fighter-details/6ca68b636fbc1f18"
"Jenna","Castillo",NA,"1-0-0",1,0,0,62,125,NA,NA,3.24,0.56,2.01,0.57,1.68,1,1,0,"http://fightmetric.com/fighter-details/e680418329c84ec4"
"Raul","Castillo",NA,"6-1-0",6,1,0,71,185,NA,"Orthodox",1.47,0.48,3.27,0.6,0,0,0,0,"http://fightmetric.com/fighter-details/feeae92f951f49a9"
"Danny","Castillo","Last Call","17-10-0",17,10,0,69,155,71,"Orthodox",2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,"http://fightmetric.com/fighter-details/d1e7fc58d4225cdf"
"Gil","Castillo",NA,"8-5-0",8,5,0,69,170,NA,"Southpaw",0.6,0.45,2.22,0.44,3.33,0.45,0.5,0,"http://fightmetric.com/fighter-details/31ceaf0e670c1578"
"Eric","Castile",NA,"3-2-0",3,2,0,68,145,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/a0a69dc9914ef6e1"
"Joe","Cason",NA,"8-1-0",8,1,0,75,205,NA,NA,4.17,0.55,10.83,0.23,0,0,0,0,"http://fightmetric.com/fighter-details/2b1c6f28039efe36"
"Dwayne","Cason",NA,"1-1-0",1,1,0,70,212,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/31c01fbc2586a5eb"
"Bendy","Casimir",NA,"19-11-2",19,11,2,65,145,NA,"Southpaw",0.74,0.27,3.42,0.54,0,0,1,0,"http://fightmetric.com/fighter-details/ec7ac09293d26c05"
